adresse_typevoie,nb_entites,surface_totale_reelle,competence,presence_cloture,type_ev,poly_area,categorie,annee_ouverture,surface_horticole,perimeter,ouvert_ferme,densite_espaces,ratio_horticole,latitude,longitude,arrondissement,zone_paris,age_espace,taille_categorie,latitude_fixed,longitude_fixed
RUE,1.0,144.0,CP,0,Décorations sur la voie publique,143.0,Jardiniere,2023,144.0,181.36106644,2,0.006944444444444444,1.0,2.2875739624171767,48.84012718449632,15.0,Ouest,2,Petit,48.84012718449632,2.2875739624171767
SQUARE,1.0,136.0,CA,0,Décorations sur la voie publique,,Jardiniere,2019,135.1238033303368,181.36106644,2,0.0049390243902439025,0.9935573774289471,2.3272765113915477,48.84145101641926,14.0,Ouest,6,Petit,48.84145101641926,2.3272765113915477
RUE,20.0,20.0,CA,2,Décorations sur la voie publique,,Jardiniere,2023,20.0,181.36106644,2,1.0,1.0,2.3419492654039527,48.87846424619837,9.0,Est,2,Petit,48.87846424619837,2.3419492654039527
PLACE DE LA,1.0,36481.0,CP,1,Promenades ouvertes,24683.0,Square,1958,27153.0,731.48711538,1,2.7411529289219047e-05,0.7443052547901647,2.281080130579895,48.876739644770794,16.0,Ouest,67,Grand,48.876739644770794,2.281080130579895
RUE DE,1.0,10050.0,CA,1,Promenades ouvertes,9228.0,Jardin,1979,5844.0,552.06745535,0,9.950248756218905e-05,0.5814925373134329,2.406843827129953,48.862000373134705,20.0,Nord,46,Grand,48.862000373134705,2.406843827129953
RUE,1.0,155.0,CP,0,"Ephémères, partagés, pédagogiques",152.0,Jardin partage,2020,155.0,181.36106644,1,0.0064516129032258064,1.0,2.353298036922697,48.87569048845765,10.0,Est,5,Petit,48.87569048845765,2.353298036922697
RUE DU,1.0,9500.0,CP,1,Promenades ouvertes,9393.0,Promenade,2019,5185.95826175674,1375.57357682,0,0.00010526315789473685,0.5458903433428147,2.4086163181851714,48.84354545423129,12.0,Sud,6,Moyen,48.84354545423129,2.4086163181851714
RUE,1.0,60.0,0,0,Murs végétalisés,,Murs vegetalises,2020,60.0,181.36106644,2,0.016666666666666666,1.0,2.326244838768175,48.83196523626792,14.0,Ouest,5,Petit,48.83196523626792,2.326244838768175
RUE DU,1.0,65.0,0,0,Murs végétalisés,,Murs vegetalises,2015,65.0,181.36106644,2,0.015384615384615385,1.0,2.3140599622153473,48.83856714163113,15.0,Ouest,10,Petit,48.83856714163113,2.3140599622153473
RUE,1.0,10.0,0,0,Murs végétalisés,,Murs vegetalises,2019,10.0,181.36106644,2,0.1,1.0,2.391509364417902,48.87100741636022,20.0,Nord,6,Petit,48.87100741636022,2.391509364417902
RUE,5.0,185.0,CA,0,Décorations sur la voie publique,185.0,Jardiniere,2022,185.0,181.36106644,2,0.02702702702702703,1.0,2.2729352047345137,48.85596106315574,16.0,Ouest,3,Petit,48.85596106315574,2.2729352047345137
RUE,5.0,400.0,CA,0,Décorations sur la voie publique,329.0,Jardiniere,2021,326.0,181.36106644,2,0.0125,0.815,2.3458663329409633,48.89149974811938,18.0,Nord,4,Petit,48.89149974811938,2.3458663329409633
PLACE,9.0,136.0,CP,0,Décorations sur la voie publique,,Jardiniere,2022,135.1238033303368,181.36106644,2,0.0661764705882353,0.9935573774289471,2.3669747813632043,48.86332140386021,11.0,Est,3,Petit,48.86332140386021,2.3669747813632043
RUE,1.0,136.0,CA,2,Décorations sur la voie publique,,Jardiniere,2019,135.1238033303368,181.36106644,2,0.0049390243902439025,0.9935573774289471,2.3310354188068185,48.8746646964071,9.0,Est,6,Petit,48.8746646964071,2.3310354188068185
RUE DES,1.0,620.0,CA,1,Promenades ouvertes,645.0,Jardin,1957,337.0,149.44253888,0,0.0016129032258064516,0.5435483870967742,2.3587132923207963,48.853820867612896,4.0,Centre,68,Petit,48.853820867612896,2.3587132923207963
RUE,1.0,53.0,CA,2,Décorations sur la voie publique,,Jardiniere,2024,53.0,181.36106644,2,0.018867924528301886,1.0,2.324960752477664,48.89280983561816,17.0,Nord,1,Petit,48.89280983561816,2.324960752477664
RUE,9.0,274.0,CA,2,Décorations sur la voie publique,,Jardiniere,2024,274.0,181.36106644,2,0.032846715328467155,1.0,2.3245364303894576,48.88972196363418,17.0,Nord,1,Petit,48.88972196363418,2.3245364303894576
RUE,1.0,136.0,CA,2,Décorations sur la voie publique,,Jardiniere,2019,135.1238033303368,181.36106644,2,0.0049390243902439025,0.9935573774289471,2.326291058240486,48.870012727894846,9.0,Est,6,Petit,48.870012727894846,2.326291058240486
COURS DE,1.0,11925.0,CP,2,Promenades ouvertes,,Promenade,2024,6509.742344363066,181.36106644,2,8.385744234800838e-05,0.5458903433428147,2.40948131125961,48.85052208791011,20.0,Nord,1,Grand,48.85052208791011,2.40948131125961
RUE,1.0,136.0,CA,2,Décorations sur la voie publique,,CA,2019,135.1238033303368,181.36106644,2,0.0049390243902439025,0.9935573774289471,2.3613145543912886,48.86836141652476,10.0,Est,6,Petit,48.86836141652476,2.3613145543912886
RUE,1.0,136.0,CA,2,Décorations sur la voie publique,,Jardiniere,2019,135.1238033303368,181.36106644,2,0.0049390243902439025,0.9935573774289471,2.3812076732762657,48.86416850470036,11.0,Est,6,Petit,48.86416850470036,2.3812076732762657
QUAI DE,1.0,2200.0,CA,1,Promenades ouvertes,2225.0,Square,1891,1392.0,506.76832361,0,0.00045454545454545455,0.6327272727272727,2.366917000791045,48.86927407136047,10.0,Est,134,Moyen,48.86927407136047,2.366917000791045
RUE,1.0,136.0,CA,2,Décorations sur la voie publique,,Jardiniere,2019,135.1238033303368,181.36106644,2,0.0049390243902439025,0.9935573774289471,2.344140401224573,48.88450244583796,18.0,Nord,6,Petit,48.88450244583796,2.344140401224573
RUE,1.0,136.0,CA,2,Décorations sur la voie publique,,Jardiniere,2019,135.1238033303368,181.36106644,2,0.0049390243902439025,0.9935573774289471,2.394486241136694,48.88359097435748,19.0,Nord,6,Petit,48.88359097435748,2.394486241136694
PLACE,1.0,200.0,CA,0,Décorations sur la voie publique,206.0,Decoration,2019,200.0,65.88104002,2,0.005,1.0,2.3232618856601035,48.898602924049634,17.0,Nord,6,Petit,48.898602924049634,2.3232618856601035
PLACE,2.0,1612.0,CA,1,Jardinets décoratifs,1502.0,Pelouse,1862,1612.0,305.43689,0,0.0012406947890818859,1.0,2.3101576489368556,48.88241296479152,17.0,Nord,163,Moyen,48.88241296479152,2.3101576489368556
RUE,32.0,137.0,CA,2,Décorations sur la voie publique,,Jardiniere,2025,137.0,181.36106644,2,0.23357664233576642,1.0,2.3473843390578324,48.831985658396576,13.0,Sud,0,Petit,48.831985658396576,2.3473843390578324
RUE DE,1.0,14000.0,CP,1,Promenades ouvertes,14115.0,Promenade,2019,7642.464806799406,181.36106644,0,7.142857142857143e-05,0.5458903433428147,2.305885502509888,48.887487096789755,17.0,Nord,6,Grand,48.887487096789755,2.305885502509888
RUE,1.0,1110.0,CA,1,Promenades ouvertes,1346.0,Jardin,1985,320.0,150.16108789,0,0.0009009009009009009,0.2882882882882883,2.36165436775177,48.86017852162972,3.0,Centre,40,Moyen,48.86017852162972,2.36165436775177
RUE  DE,2.0,1337.0,CP,1,Jardins privatifs,1247.0,Jardin,2015,448.0,226.18483504,0,0.0014958863126402393,0.33507853403141363,2.3623090782415064,48.85736442276697,3.0,Centre,10,Moyen,48.85736442276697,2.3623090782415064
RUE DE LA,6.0,43.0,CA,0,Murs végétalisés,3.0,Murs vegetalises,2016,45.52628324056896,18.50699661,2,0.13953488372093023,1.0,2.3615319667111385,48.85966627865871,3.0,Centre,9,Petit,48.85966627865871,2.3615319667111385
RUE,1.0,2110.0,CP,1,Promenades ouvertes,2027.0,Promenade,2024,0.0,181.36106644,0,0.00047393364928909954,0.0,2.330013791191987,48.895781023262906,18.0,Nord,1,Moyen,48.895781023262906,2.330013791191987
AVENUE DE,1.0,13150.0,CP,1,Promenades ouvertes,10837.0,Promenade,2020,7178.458014958013,951.75541687,0,7.604562737642586e-05,0.5458903433428147,2.378664317350965,48.89630700673959,19.0,Nord,5,Grand,48.89630700673959,2.378664317350965
RUE,3.0,35.0,CA,2,Décorations sur la voie publique,,Jardiniere,2025,35.0,181.36106644,2,0.08571428571428572,1.0,2.3450739126444504,48.87287088592974,9.0,Est,0,Petit,48.87287088592974,2.3450739126444504
AVENUE,17.0,2300.0,CA,0,Décorations sur la voie publique,2337.0,Talus,2016,2300.0,1310.47402136,2,0.007391304347826087,1.0,2.3359604630350463,48.8255661429589,14.0,Ouest,9,Moyen,48.8255661429589,2.3359604630350463
RUE DU,1.0,600.0,CP,1,Cimetières,635.0,Cimetière,1688,260.0,125.4547211,0,0.0016666666666666668,1.0,2.3418596193699757,48.88685963129755,18.0,Nord,337,Petit,48.88685963129755,2.3418596193699757
,1.0,1500.0,0,0,Périphérique,605.0,Talus,2015,1473.1645702866226,253.9843204,2,0.0006666666666666666,0.9821097135244151,2.382635265814574,48.90050056067199,19.0,Nord,10,Moyen,48.90050056067199,2.382635265814574
RUE,3.0,75.0,CA,1,Jardinets décoratifs,105.0,Plate-bande,1974,75.0,71.49973764,0,0.04,1.0,2.3380461887085193,48.888708817747315,18.0,Nord,51,Petit,48.888708817747315,2.3380461887085193
RUE,3.0,85.0,CA,2,Décorations sur la voie publique,,Jardiniere,2023,85.0,181.36106644,2,0.03529411764705882,1.0,2.351182687967076,48.87652704767491,10.0,Est,2,Petit,48.87652704767491,2.351182687967076
AVENUE DES,0.0,1280.0,CA,1,Promenades ouvertes,2621.0,Promenade,1989,812.0,299.20864186,0,0.0,0.634375,2.289053526389053,48.88054619418405,17.0,Nord,36,Moyen,48.88054619418405,2.289053526389053
,1.0,1500.0,0,0,Périphérique,1740.0,Talus,2015,1473.1645702866226,320.92574574,2,0.0006666666666666666,0.9821097135244151,2.4117516612541823,48.834934853522775,12.0,Sud,10,Moyen,48.834934853522775,2.4117516612541823
RUE,1.0,709.0,0,0,Murs végétalisés,,Murs vegetalises,2015,709.0,181.36106644,2,0.0014104372355430183,1.0,2.272978362917865,48.836974226757924,15.0,Ouest,10,Petit,48.836974226757924,2.272978362917865
CHEMIN DE,1.0,4021.0,CP,0,Promenades ouvertes,4021.0,Square,1978,2195.025070581458,248.03224327,2,0.0002486943546381497,0.5458903433428147,2.261056316579773,48.86706028627006,16.0,Ouest,47,Moyen,48.86706028627006,2.261056316579773
,1.0,1500.0,0,0,Périphérique,1344.0,Talus,2015,1473.1645702866226,292.0184649,2,0.0006666666666666666,0.9821097135244151,2.412969236086545,48.867303452549585,20.0,Nord,10,Moyen,48.867303452549585,2.412969236086545
RUE DE LA,1.0,860.0,CA,1,Promenades ouvertes,877.0,Square,1926,319.0,161.16601728,0,0.0011627906976744186,0.37093023255813956,2.280461458580797,48.84408209200621,15.0,Ouest,99,Petit,48.84408209200621,2.280461458580797
AVENUE,1.0,6040.0,CA,1,Promenades ouvertes,4577.0,Jardin,1972,4640.0,283.49264208,0,0.00016556291390728477,0.7682119205298014,2.27053989881131,48.85302712415285,16.0,Ouest,53,Moyen,48.85302712415285,2.27053989881131
RUE,4.0,66.0,CA,0,Décorations sur la voie publique,66.0,Jardiniere,2022,66.0,181.36106644,2,0.06060606060606061,1.0,2.31702172455012,48.82998081575711,14.0,Ouest,3,Petit,48.82998081575711,2.31702172455012
BOULEVARD DE,1.0,1062.0,CA,0,Promenades ouvertes,1041.0,Terrain de boules,1966,0.0,177.47167046,1,0.0009416195856873823,0.0,2.2971763080009375,48.88873108583521,17.0,Nord,59,Moyen,48.88873108583521,2.2971763080009375
PLACE,1.0,15.0,CA,0,Décorations sur la voie publique,15.0,Jardiniere,2019,15.0,33.06270578,2,0.06666666666666667,1.0,2.3100161440614353,48.84689056738861,15.0,Ouest,6,Petit,48.84689056738861,2.3100161440614353
,1.0,1500.0,0,0,Périphérique,888.0,Talus,2015,1473.1645702866226,215.87499839,2,0.0006666666666666666,0.9821097135244151,2.3408253829133385,48.90113169350792,18.0,Nord,10,Moyen,48.90113169350792,2.3408253829133385
