adresse_typevoie,nb_entites,surface_totale_reelle,competence,presence_cloture,type_ev,poly_area,categorie,annee_ouverture,surface_horticole,perimeter,ouvert_ferme,densite_espaces,ratio_horticole,latitude,longitude,arrondissement,zone_paris,age_espace,taille_categorie,latitude_fixed,longitude_fixed
RUE DE,1.0,200.0,CA,0,Décorations sur la voie publique,202.0,Jardiniere,2020,200.0,181.36106644,2,0.005,1.0,2.415052280347844,48.849197051441635,20.0,Nord,5,Petit,48.849197051441635,2.415052280347844
RUE DU,6.0,43.0,CA,0,Murs végétalisés,1.0,Murs vegetalises,2015,45.52628324056896,11.47229252,2,0.13953488372093023,1.0,2.363553996357872,48.88253456071082,10.0,Est,10,Petit,48.88253456071082,2.363553996357872
RUE DE,1.0,2479.0,CA,1,Promenades ouvertes,2292.0,Square,1900,692.0,192.65087849,1,0.0004033884630899556,0.2791448164582493,2.388915313434033,48.83867696828873,12.0,Sud,125,Moyen,48.83867696828873,2.388915313434033
RUE DES,1.0,43.0,CP,0,Murs végétalisés,202.0,Murs vegetalises,2011,45.52628324056896,623.61806357,2,0.023255813953488372,1.0,2.398506784299209,48.862178411168856,20.0,Nord,14,Petit,48.862178411168856,2.398506784299209
RUE DES,1.0,118.0,CA,1,Jardinets décoratifs,85.0,Plate-bande,1986,70.0,50.81897452,0,0.00847457627118644,0.5932203389830508,2.3510087754725566,48.850870116773635,5.0,Est,39,Petit,48.850870116773635,2.3510087754725566
RUE,1.0,25.0,CA,1,Jardinets décoratifs,23.0,Jardinet,1974,25.0,19.27198332,0,0.04,1.0,2.359276105822046,48.882896636946064,10.0,Est,51,Petit,48.882896636946064,2.359276105822046
RUE,1.0,177.0,CA,0,Décorations sur la voie publique,76.0,Jardinet,2019,177.0,46.22604454,2,0.005649717514124294,1.0,2.2993907899750736,48.84135883865651,15.0,Ouest,6,Petit,48.84135883865651,2.2993907899750736
RUE,1.0,1461.0,CA,0,Décorations sur la voie publique,1104.0,Jardinet,2019,1461.0,979.32783077,2,0.0006844626967830253,1.0,2.3735325186950345,48.83585874903088,13.0,Sud,6,Moyen,48.83585874903088,2.3735325186950345
RUE,3.0,1837.0,CA,1,Jardinets décoratifs,592.0,Plate-bande,1974,1837.0,1124.47147268,0,0.001633097441480675,1.0,2.3266366559248555,48.83644125518589,14.0,Ouest,51,Moyen,48.83644125518589,2.3266366559248555
RUE,1.0,43.0,CP,0,Murs végétalisés,0.0,Murs vegetalises,2008,45.52628324056896,8.60013366,2,0.023255813953488372,1.0,2.3411931307836693,48.853310687074696,6.0,Est,17,Petit,48.853310687074696,2.3411931307836693
ROUTE DE LA,1.0,3320.0,0,1,Promenades ouvertes,127620.0,Arboretum,1978,1812.355939898145,1425.1149598,0,0.00030120481927710846,0.5458903433428147,2.4566548223567266,48.82139684881179,12.0,Sud,47,Moyen,48.82139684881179,2.4566548223567266
RUE DU,1.0,8.0,CA,0,Décorations sur la voie publique,6.0,Jardiniere,2019,8.0,17.38847882,2,0.125,1.0,2.3427927283271868,48.88958020961126,18.0,Nord,6,Petit,48.88958020961126,2.3427927283271868
RUE DU,1.0,6638.0,CA,1,Promenades ouvertes,7355.0,Jardin,1967,1897.0,445.02117746,0,0.00015064778547755348,0.28577884905091894,2.3705036049494175,48.88674624509649,19.0,Nord,58,Moyen,48.88674624509649,2.3705036049494175
,1.0,1500.0,0,0,Périphérique,924.0,Talus,2015,1473.1645702866226,175.78012632,2,0.0006666666666666666,0.9821097135244151,2.3433235945845063,48.816309504786766,14.0,Ouest,10,Moyen,48.816309504786766,2.3433235945845063
PLACE DU,1.0,950.0,CA,0,Décorations sur la voie publique,1068.0,Jardinet,2005,950.0,133.40004868,2,0.0010526315789473684,1.0,2.372345704144291,48.820351775180036,13.0,Sud,20,Petit,48.820351775180036,2.372345704144291
RUE DE LA,1.0,416.0,CA,1,Promenades ouvertes,431.0,Jardin,1980,80.0,101.20741927,0,0.002403846153846154,0.19230769230769232,2.40853055999283,48.86829230387095,20.0,Nord,45,Petit,48.86829230387095,2.40853055999283
RUE,12.0,5038.0,CA,0,Décorations sur la voie publique,1418.0,Mail,2019,1555.0,726.26908079,2,0.0023818975784041284,0.3086542278682017,2.2796334144201413,48.83849963395887,15.0,Ouest,6,Moyen,48.83849963395887,2.2796334144201413
QUAI DE LA,1.0,250.0,CA,1,Promenades ouvertes,502.0,Square,1989,30.0,143.20284848,1,0.004,0.12,2.3751418472455037,48.886822213389706,19.0,Nord,36,Petit,48.886822213389706,2.3751418472455037
RUE,1.0,754.0,CA,1,Jardinets décoratifs,1120.0,Jardinet,1974,754.0,494.38207831,0,0.001326259946949602,1.0,2.344994389355386,48.893061524696044,18.0,Nord,51,Petit,48.893061524696044,2.344994389355386
,1.0,1500.0,0,0,Périphérique,132.0,Talus,2015,1473.1645702866226,73.62231536,2,0.0006666666666666666,0.9821097135244151,2.3906940232412075,48.82668104689696,12.0,Sud,10,Moyen,48.82668104689696,2.3906940232412075
AVENUE D',2.0,40.0,CA,0,Décorations sur la voie publique,55.0,Jardiniere,2006,40.0,50.72507213,2,0.05,1.0,2.358475907243242,48.82141425951372,13.0,Sud,19,Petit,48.82141425951372,2.358475907243242
,1.0,1500.0,0,0,Périphérique,212.0,Talus,2015,1473.1645702866226,88.97977268,2,0.0006666666666666666,0.9821097135244151,2.3350061200811774,48.816959531802425,14.0,Ouest,10,Moyen,48.816959531802425,2.3350061200811774
,1.0,1500.0,0,0,Périphérique,1248.0,Talus,2015,1473.1645702866226,472.41272378,2,0.0006666666666666666,0.9821097135244151,2.3099489338874717,48.82339278437723,14.0,Ouest,10,Moyen,48.82339278437723,2.3099489338874717
,1.0,1500.0,0,0,Périphérique,2333.0,Talus,2015,1473.1645702866226,219.75801858,2,0.0006666666666666666,0.9821097135244151,2.2615889852767026,48.85916035303319,16.0,Ouest,10,Moyen,48.85916035303319,2.2615889852767026
COURS,1.0,4949.0,CA,0,Promenades ouvertes,4092.0,Promenade,1927,4578.0,1069.00147842,1,0.00020206102242877348,0.925035360678925,2.30667375201206,48.86434601131134,8.0,Est,98,Moyen,48.86434601131134,2.30667375201206
RUE DE LA,1.0,758.0,CA,1,Promenades ouvertes,775.0,Square,1923,233.0,214.8853634,0,0.0013192612137203166,0.3073878627968338,2.3455575386795005,48.8516447840239,5.0,Est,102,Petit,48.8516447840239,2.3455575386795005
PLACE DE LA,4.0,178.0,CA,0,Décorations sur la voie publique,178.0,Jardiniere,2016,178.0,106.08270675,2,0.02247191011235955,1.0,2.4091891361383366,48.8649104021715,20.0,Nord,9,Petit,48.8649104021715,2.4091891361383366
PLACE D',1.0,3164.0,CA,1,Promenades ouvertes,3446.0,Square,1865,615.0,246.0939109,0,0.0003160556257901391,0.19437420986093554,2.3316282200485166,48.87674498790556,9.0,Est,160,Moyen,48.87674498790556,2.3316282200485166
BOULEVARD,1.0,3700.0,CA,1,Promenades ouvertes,3618.0,Square,1935,2173.0,269.6034833,1,0.0002702702702702703,0.5872972972972973,2.3589297588229385,48.818554588591795,13.0,Sud,90,Moyen,48.818554588591795,2.3589297588229385
RUE,1.0,1784.0,CA,1,Promenades ouvertes,1882.0,Square,1904,660.0,211.86878732,1,0.0005605381165919282,0.36995515695067266,2.3306074740152187,48.834750049745466,14.0,Ouest,121,Moyen,48.834750049745466,2.3306074740152187
RUE DE,2.0,25.0,CA,1,Jardinets décoratifs,89.0,Jardinet,1974,25.0,56.60012563,0,0.08,1.0,2.3132307909415615,48.8347018792079,14.0,Ouest,51,Petit,48.8347018792079,2.3132307909415615
RUE,1.0,85.0,CA,0,Décorations sur la voie publique,70.0,Jardiniere,2010,85.0,39.921685,2,0.011764705882352941,1.0,2.382160753402898,48.826808225235006,13.0,Sud,15,Petit,48.826808225235006,2.382160753402898
PASSAGE DES,1.0,43.0,CP,0,Murs végétalisés,6.0,Murs vegetalises,2010,45.52628324056896,13.39275079,2,0.023255813953488372,1.0,2.3604101019111456,48.873899469690755,10.0,Est,15,Petit,48.873899469690755,2.3604101019111456
AVENUE,1.0,1076000.0,CP,1,Cimetières,1071028.0,Cimetière,1886,260.0,4731.89094045,0,9.29368029739777e-07,1.0,2.4107594743663974,48.90588197773309,13.0,Inconnue,139,Grand,48.90588197773309,2.4107594743663974
BOULEVARD,1.0,19.0,CA,0,Décorations sur la voie publique,20.0,Jardiniere,2019,19.0,19.34463593,2,0.05263157894736842,1.0,2.353510367700198,48.83041060623022,13.0,Sud,6,Petit,48.83041060623022,2.353510367700198
RUE,1.0,20.0,CA,0,Décorations sur la voie publique,19.0,Jardiniere,2019,20.0,21.42042089,2,0.05,1.0,2.3402936780934422,48.882845732234536,18.0,Nord,6,Petit,48.882845732234536,2.3402936780934422
AVENUE,3.0,105.0,CA,0,Décorations sur la voie publique,107.0,Plate-bande,2019,105.0,166.20606059,2,0.02857142857142857,1.0,2.3741219383139365,48.847899871707455,12.0,Sud,6,Petit,48.847899871707455,2.3741219383139365
SQUARE,1.0,25.0,CA,0,Décorations sur la voie publique,28.0,Jardiniere,2001,25.0,27.77312923,2,0.04,1.0,2.3142332486045447,48.82659527361646,14.0,Ouest,24,Petit,48.82659527361646,2.3142332486045447
RUE,1.0,2927.0,CA,1,Etablissements sportifs,2487.0,Espace Vert,2015,2927.0,1112.0976808,0,0.00034164673727365904,1.0,2.3349400882960065,48.89520037324179,18.0,Nord,10,Moyen,48.89520037324179,2.3349400882960065
QUAI,0.0,8147.0,CP,0,Promenades ouvertes,8082.0,Promenade,1941,3984.0,750.31475103,1,0.0,0.4890143611145207,2.289705814182101,48.856364473162024,15.0,Ouest,84,Moyen,48.856364473162024,2.289705814182101
,1.0,1500.0,0,0,Périphérique,316.0,Talus,2015,1473.1645702866226,199.58225575,2,0.0006666666666666666,0.9821097135244151,2.4150087301036813,48.84778203031748,20.0,Nord,10,Moyen,48.84778203031748,2.4150087301036813
,1.0,1500.0,0,0,Périphérique,1062.0,Talus,2015,1473.1645702866226,224.26446561,2,0.0006666666666666666,0.9821097135244151,2.360662310338788,48.90029310718981,18.0,Nord,10,Moyen,48.90029310718981,2.360662310338788
RUE DE L',1.0,198.0,CA,1,"Ephémères, partagés, pédagogiques",263.0,Jardin partage,2011,198.0,72.11216729,0,0.005050505050505051,1.0,2.384634734485179,48.88801997788487,19.0,Nord,14,Petit,48.88801997788487,2.384634734485179
RUE,2.0,7.0,Inconnue,0,Décorations sur la voie publique,,Jardiniere,2019,7.0,181.36106644,2,0.2857142857142857,1.0,2.3270485044428817,48.85856693536279,7.0,Est,6,Petit,48.85856693536279,2.3270485044428817
RUE,4.0,63.0,CA,2,Décorations sur la voie publique,,Jardiniere,2023,63.0,181.36106644,2,0.06349206349206349,1.0,2.3488007798681925,48.88926669685125,18.0,Nord,2,Petit,48.88926669685125,2.3488007798681925
,1.0,1500.0,0,0,Périphérique,879.0,Talus,2015,1473.1645702866226,296.88023982,2,0.0006666666666666666,0.9821097135244151,2.3076534128637456,48.823885217924904,14.0,Ouest,10,Moyen,48.823885217924904,2.3076534128637456
PLACE DU,1.0,1486.0,CA,1,Promenades ouvertes,1520.0,Square,1969,675.0,230.64965402,0,0.0006729475100942127,0.45423956931359355,2.3136514743631094,48.85031459139678,7.0,Est,56,Moyen,48.85031459139678,2.3136514743631094
RUE,1.0,11760.0,CA,1,Promenades ouvertes,10063.0,Square,1932,4005.0,606.20262102,0,8.503401360544217e-05,0.3405612244897959,2.2977784495450417,48.82865122944027,15.0,Ouest,93,Grand,48.82865122944027,2.2977784495450417
RUE,1.0,1645.0,CA,1,Promenades ouvertes,1691.0,Square,1989,600.0,200.09290939,0,0.0006079027355623101,0.364741641337386,2.361002358972538,48.89590150868796,18.0,Nord,36,Moyen,48.89590150868796,2.361002358972538
AVENUE DE LA,1.0,52100.0,CP,1,Promenades ouvertes,56137.0,Jardin,1954,32500.0,1015.56112178,0,1.9193857965451055e-05,0.6238003838771593,2.2526830864582257,48.846684669707834,16.0,Ouest,71,Grand,48.846684669707834,2.2526830864582257
AVENUE,4.0,88.0,CA,0,Décorations sur la voie publique,601.0,Jardiniere,2019,88.0,197.61671324,2,0.045454545454545456,1.0,2.3753621470243393,48.82243234732657,13.0,Sud,6,Petit,48.82243234732657,2.3753621470243393
AVENUE,1.0,8085.0,CA,1,Promenades ouvertes,8124.0,Square,1879,6455.0,419.66710416,0,0.00012368583797155226,0.7983920841063699,2.400215809614939,48.86552531021967,20.0,Nord,146,Moyen,48.86552531021967,2.400215809614939
RUE DE LA,1.0,9050.0,CA,1,Promenades ouvertes,8983.0,Square,1937,5290.0,515.79054268,0,0.00011049723756906077,0.5845303867403315,2.396687561583207,48.87062110085808,20.0,Nord,88,Moyen,48.87062110085808,2.396687561583207
RUE DE LA,1.0,6300.0,CA,1,Promenades ouvertes,6282.0,Jardin,1995,364.0,591.21884882,0,0.00015873015873015873,0.057777777777777775,2.3993945059649113,48.85889376138732,20.0,Nord,30,Moyen,48.85889376138732,2.3993945059649113
RUE DE,3.0,34.0,CA,0,Décorations sur la voie publique,44.0,Decoration,2019,34.0,46.7905806,2,0.08823529411764706,1.0,2.3346639996127294,48.849160900242794,6.0,Est,6,Petit,48.849160900242794,2.3346639996127294
RUE DE,1.0,30.0,CA,0,Décorations sur la voie publique,84.0,Jardiniere,2019,30.0,39.34810339,2,0.03333333333333333,1.0,2.3768275839889568,48.883303530807105,19.0,Nord,6,Petit,48.883303530807105,2.3768275839889568
AVENUE,8.0,147.0,CP,0,Décorations sur la voie publique,1225.0,Decoration,2019,147.0,714.67627911,2,0.05442176870748299,1.0,2.294456296673416,48.85829139240809,7.0,Est,6,Petit,48.85829139240809,2.294456296673416
PLACE DE,1.0,16.0,CA,0,Décorations sur la voie publique,36.0,Jardiniere,2019,16.0,21.47460565,2,0.0625,1.0,2.2833131619751446,48.86549112558516,16.0,Ouest,6,Petit,48.86549112558516,2.2833131619751446
RUE DU,1.0,14.0,CA,0,Décorations sur la voie publique,11.0,Jardiniere,2019,14.0,18.80267964,2,0.07142857142857142,1.0,2.3426925439706445,48.889441734932106,18.0,Nord,6,Petit,48.889441734932106,2.3426925439706445
ALLEE,1.0,244.0,CA,0,Décorations sur la voie publique,232.0,Jardiniere,2019,244.0,110.36776433,2,0.004098360655737705,1.0,2.392821271482508,48.8857678264435,19.0,Nord,6,Petit,48.8857678264435,2.392821271482508
RUE,2.0,225.0,CA,0,Décorations sur la voie publique,273.0,Jardiniere,2012,225.0,133.78315918,2,0.008888888888888889,1.0,2.4005422744810296,48.87958799026242,19.0,Nord,13,Petit,48.87958799026242,2.4005422744810296
BOULEVARD,2.0,320.0,CA,0,Décorations sur la voie publique,318.0,Jardiniere,2012,320.0,160.43610792,2,0.00625,1.0,2.393039403243808,48.896427601691244,19.0,Nord,13,Petit,48.896427601691244,2.393039403243808
,1.0,1500.0,0,0,Périphérique,3834.0,Talus,2015,1473.1645702866226,569.52498762,2,0.0006666666666666666,0.9821097135244151,2.414118697076326,48.84274487103842,12.0,Sud,10,Moyen,48.84274487103842,2.414118697076326
,1.0,1500.0,0,0,Périphérique,3046.0,Talus,2015,1473.1645702866226,434.50175111,2,0.0006666666666666666,0.9821097135244151,2.3688248645403434,48.90051155548636,18.0,Nord,10,Moyen,48.90051155548636,2.3688248645403434
VOIE,1.0,240.0,CP,0,Périphérique,233.0,Talus,2015,240.0,88.45736947,2,0.004166666666666667,1.0,2.281126235705203,48.87990611730879,17.0,Nord,10,Petit,48.87990611730879,2.281126235705203
,1.0,1500.0,0,0,Périphérique,1232.0,Talus,2015,1473.1645702866226,526.5776421,2,0.0006666666666666666,0.9821097135244151,2.2630427768909835,48.859341325215034,16.0,Ouest,10,Moyen,48.859341325215034,2.2630427768909835
,1.0,1500.0,0,0,Périphérique,5791.0,Talus,2015,1473.1645702866226,833.37035345,2,0.0006666666666666666,0.9821097135244151,2.2681005168112627,48.86637940753331,16.0,Ouest,10,Moyen,48.86637940753331,2.2681005168112627
RUE,3.0,43.0,CP,0,Murs végétalisés,1.0,Murs vegetalises,2017,45.52628324056896,7.12500144,2,0.06976744186046512,1.0,2.395310319676235,48.83682595108694,12.0,Sud,8,Petit,48.83682595108694,2.395310319676235
QUAI D',8.0,7600.0,0,0,Périphérique,7638.0,Talus,2015,7600.0,1310.66536568,2,0.0010526315789473684,1.0,2.2678254208293893,48.83627395313973,15.0,Ouest,10,Moyen,48.83627395313973,2.2678254208293893
RUE,2.0,80.0,CA,0,Décorations sur la voie publique,78.0,Jardiniere,2019,80.0,65.19981128,2,0.025,1.0,2.407723991005192,48.85509870626048,20.0,Nord,6,Petit,48.85509870626048,2.407723991005192
RUE,1.0,9400.0,CP,1,Promenades ouvertes,9260.0,Jardin,2016,5800.0,181.36106644,0,0.00010638297872340425,0.6170212765957447,2.3675491589148683,48.873298238633666,10.0,Est,9,Moyen,48.873298238633666,2.3675491589148683
RUE DES,15.0,190.0,CA,0,Décorations sur la voie publique,,Jardiniere,2018,190.0,181.36106644,2,0.07894736842105263,1.0,2.339845072881011,48.88171615286355,9.0,Est,7,Petit,48.88171615286355,2.339845072881011
RUE,22.0,43.0,0,0,Murs végétalisés,0.0,Murs vegetalises,2017,45.52628324056896,181.36106644,2,0.5116279069767442,1.0,2.397469902099835,48.83301822800293,12.0,Sud,8,Petit,48.83301822800293,2.397469902099835
RUE,1.0,200.0,0,1,"Ephémères, partagés, pédagogiques",266.0,Jardin partage,2010,200.0,181.36106644,0,0.005,1.0,2.350089091847215,48.834658044127785,13.0,Sud,15,Petit,48.834658044127785,2.350089091847215
RUE DE,2.0,20.0,CA,0,Décorations sur la voie publique,20.0,Jardiniere,2019,20.0,181.36106644,2,0.1,1.0,2.338765176234674,48.87604028560109,9.0,Est,6,Petit,48.87604028560109,2.338765176234674
BOULEVARD DES,1.0,2125.0,0,0,Murs végétalisés,,Murs vegetalises,2015,2125.0,181.36106644,2,0.00047058823529411766,1.0,2.268531458166648,48.828854050320736,15.0,Ouest,10,Moyen,48.828854050320736,2.268531458166648
BOULEVARD DE,30.0,1040.0,CA,0,Décorations sur la voie publique,1046.0,Jardiniere,2020,1040.0,181.36106644,2,0.028846153846153848,1.0,2.394873246951569,48.85490022358055,11.0,Est,5,Moyen,48.85490022358055,2.394873246951569
VOIE,15.0,186.0,CA,0,Décorations sur la voie publique,200.0,Jardiniere,2021,186.0,181.36106644,2,0.08064516129032258,1.0,2.357120742873775,48.89749542761658,18.0,Nord,4,Petit,48.89749542761658,2.357120742873775
VOIE,10.0,160.0,CA,0,Décorations sur la voie publique,117.0,Jardiniere,2021,160.0,181.36106644,2,0.0625,1.0,2.3574616510379993,48.8963738424581,18.0,Nord,4,Petit,48.8963738424581,2.3574616510379993
RUE,1.0,600.0,CA,0,Décorations sur la voie publique,,Jardiniere,2023,600.0,181.36106644,2,0.0049390243902439025,1.0,2.385220753097234,48.845835097783876,12.0,Sud,2,Petit,48.845835097783876,2.385220753097234
RUE D',1.0,136.0,CP,0,Décorations sur la voie publique,,Jardiniere,2019,135.1238033303368,181.36106644,2,0.0049390243902439025,0.9935573774289471,2.32435041892717,48.84298508089319,14.0,Ouest,6,Petit,48.84298508089319,2.32435041892717
RUE,1.0,400.0,CA,1,Jardinets décoratifs,258.0,Jardinet,1982,400.0,94.53119736,0,0.0025,1.0,2.370203042270732,48.86086418704039,11.0,Est,43,Petit,48.86086418704039,2.370203042270732
RUE,1.0,41.0,0,0,Murs végétalisés,,Murs vegetalises,2015,41.0,181.36106644,2,0.024390243902439025,1.0,2.326110574243621,48.83173786541303,14.0,Ouest,10,Petit,48.83173786541303,2.326110574243621
RUE,1.0,103.0,0,0,Murs végétalisés,,Murs vegetalises,2018,103.0,181.36106644,2,0.009708737864077669,1.0,2.297105444638487,48.84175533493396,15.0,Ouest,7,Petit,48.84175533493396,2.297105444638487
RUE DE,8.0,90.0,CA,0,Décorations sur la voie publique,90.0,Jardiniere,2020,90.0,181.36106644,2,0.08888888888888889,1.0,2.3944130922374027,48.87943060850907,19.0,Nord,5,Petit,48.87943060850907,2.3944130922374027
RUE,5.0,485.0,CP,0,Décorations sur la voie publique,485.0,Jardiniere,2021,485.0,181.36106644,2,0.010309278350515464,1.0,2.3688849524638664,48.87895413875377,10.0,Est,4,Petit,48.87895413875377,2.3688849524638664
RUE DU,9.0,120.0,CA,0,Décorations sur la voie publique,119.0,Jardiniere,2021,120.0,181.36106644,2,0.075,1.0,2.348324275947038,48.88244622708197,9.0,Est,4,Petit,48.88244622708197,2.348324275947038
BOULEVARD DE,1.0,136.0,CA,0,Décorations sur la voie publique,,Jardiniere,2019,135.1238033303368,181.36106644,2,0.0049390243902439025,0.9935573774289471,2.362835458179135,48.868717742556406,10.0,Est,6,Petit,48.868717742556406,2.362835458179135
RUE,12.0,446.0,CA,0,Décorations sur la voie publique,,Jardiniere,2022,446.0,181.36106644,2,0.026905829596412557,1.0,2.3797164681256957,48.88136005664681,19.0,Nord,3,Petit,48.88136005664681,2.3797164681256957
RUE,28.0,4.0,CA,2,Décorations sur la voie publique,,Jardiniere,2023,4.0,181.36106644,2,7.0,1.0,2.3672586409071044,48.875132157491755,10.0,Est,2,Petit,48.875132157491755,2.3672586409071044
AVENUE,16.0,302.0,CA,2,Décorations sur la voie publique,,Jardiniere,2023,302.0,181.36106644,2,0.052980132450331126,1.0,2.370689060643019,48.84760391484445,12.0,Sud,2,Petit,48.84760391484445,2.370689060643019
RUE,2.0,110.0,CA,2,Décorations sur la voie publique,,Jardiniere,2024,110.0,181.36106644,2,0.01818181818181818,1.0,2.4131702582886465,48.87359887074312,20.0,Nord,1,Petit,48.87359887074312,2.4131702582886465
SQUARE DE LA,14.0,731.0,CA,0,Décorations sur la voie publique,,Jardiniere,2021,731.0,181.36106644,1,0.019151846785225718,1.0,2.4058613598651686,48.8579015605205,20.0,Nord,4,Petit,48.8579015605205,2.4058613598651686
RUE,1.0,136.0,CA,2,Décorations sur la voie publique,,Jardinieres,2019,135.1238033303368,181.36106644,2,0.0049390243902439025,0.9935573774289471,2.327690701601158,48.856782005495035,7.0,Est,6,Petit,48.856782005495035,2.327690701601158
PLACE,1.0,136.0,CA,2,Décorations sur la voie publique,,Jardiniere,2019,135.1238033303368,181.36106644,2,0.0049390243902439025,0.9935573774289471,2.319319836382781,48.87562878633835,8.0,Est,6,Petit,48.87562878633835,2.319319836382781
RUE DE,1.0,11886.0,CP,1,Promenades ouvertes,11854.0,Promenade,2019,6488.4526209726955,1219.1072682,0,8.413259296651523e-05,0.5458903433428147,2.406751045033287,48.838468901488596,12.0,Sud,6,Grand,48.838468901488596,2.406751045033287
RUE,1.0,3200.0,CA,1,Promenades ouvertes,3195.0,Square,1982,1138.0,303.14209967,0,0.0003125,0.355625,2.362371217923706,48.833740704703175,13.0,Sud,43,Moyen,48.833740704703175,2.362371217923706
AVENUE DES,1.0,1096.0,CP,0,Promenades ouvertes,,Jardin,1928,598.2958163037249,181.36106644,1,0.0009124087591240876,0.5458903433428147,2.31067213356462,48.867149123822934,8.0,Est,97,Moyen,48.867149123822934,2.31067213356462
COURS LA,1.0,6489.0,CP,0,Promenades ouvertes,6489.0,Jardin,2006,6599.0,446.52069384,1,0.0001541069502234551,1.0,2.314655443481093,48.86537621412126,8.0,Est,19,Moyen,48.86537621412126,2.314655443481093
BOULEVARD,1.0,136.0,CA,2,Décorations sur la voie publique,,Jardiniere,2019,135.1238033303368,181.36106644,2,0.0049390243902439025,0.9935573774289471,2.300945778785487,48.88858401944317,17.0,Nord,6,Petit,48.88858401944317,2.300945778785487
RUE,9.0,357.0,CA,2,Décorations sur la voie publique,,Jardiniere,2024,357.0,181.36106644,2,0.025210084033613446,1.0,2.3448242966797195,48.89582647263287,18.0,Nord,1,Petit,48.89582647263287,2.3448242966797195
RUE DE L',1.0,177.0,CA,0,Jardinets décoratifs,179.0,Jardinet,1974,177.0,55.82821737,2,0.005649717514124294,1.0,2.3423113463493554,48.821402097468805,14.0,Ouest,51,Petit,48.821402097468805,2.3423113463493554
RUE,1.0,30.0,0,0,Murs végétalisés,,Murs vegetalises,2017,30.0,181.36106644,2,0.03333333333333333,1.0,2.3369950635221337,48.88848482170043,18.0,Nord,8,Petit,48.88848482170043,2.3369950635221337
RUE,1.0,42140.0,CP,1,Promenades ouvertes,43393.0,Jardin,2007,21000.0,1111.77857968,0,2.3730422401518746e-05,0.4983388704318937,2.366209229832536,48.88759642912773,18.0,Nord,18,Grand,48.88759642912773,2.366209229832536
RUE,1.0,136.0,CA,2,Décorations sur la voie publique,,Jardiniere,2019,135.1238033303368,181.36106644,2,0.0049390243902439025,0.9935573774289471,2.398800351494599,48.88767006862369,19.0,Nord,6,Petit,48.88767006862369,2.398800351494599
RUE,1.0,80447.0,CP,1,Promenades ouvertes,94983.0,Parc,1984,33900.0,2012.69855057,0,1.2430544333536366e-05,0.4213954529068828,2.382326337765586,48.835241911280086,12.0,Sud,41,Grand,48.835241911280086,2.382326337765586
RUE DE,1.0,43.0,CP,0,Murs végétalisés,6.0,Murs vegetalises,2012,45.52628324056896,12.98790979,2,0.023255813953488372,1.0,2.378171957091284,48.85309901600344,11.0,Est,13,Petit,48.85309901600344,2.378171957091284
RUE,3.0,650.0,CA,0,Décorations sur la voie publique,706.0,Jardiniere,2009,650.0,186.79895692,2,0.004615384615384616,1.0,2.3885564166117748,48.888516158663535,19.0,Nord,16,Petit,48.888516158663535,2.3885564166117748
PLACE,1.0,458.0,CA,0,Décorations sur la voie publique,452.0,Jardiniere,2019,458.0,96.79866774,2,0.002183406113537118,1.0,2.338898935386413,48.88663246614148,18.0,Nord,6,Petit,48.88663246614148,2.338898935386413
BOULEVARD DU,1.0,10355.0,CA,0,Promenades ouvertes,7833.0,Jardin,2020,5800.0,1004.92882316,1,9.657170449058426e-05,0.5601158860453888,2.320889714169563,48.900009420308685,17.0,Nord,5,Grand,48.900009420308685,2.320889714169563
PLACE,1.0,475.0,CA,1,Jardinets décoratifs,678.0,Pelouse,1862,475.0,114.41024597,0,0.002105263157894737,1.0,2.309568081685045,48.88299112005179,17.0,Nord,163,Petit,48.88299112005179,2.309568081685045
BOULEVARD,4.0,525.0,CA,2,Décorations sur la voie publique,,Jardiniere,2025,525.0,181.36106644,2,0.007619047619047619,1.0,2.3667547410114333,48.846889090966584,12.0,Sud,0,Petit,48.846889090966584,2.3667547410114333
RUE,1.0,206.0,CA,0,Décorations sur la voie publique,145.0,Jardiniere,2006,206.0,52.02620378,2,0.0048543689320388345,1.0,2.3507352145291334,48.82208048150592,13.0,Sud,19,Petit,48.82208048150592,2.3507352145291334
RUE,1.0,77.0,CA,0,Décorations sur la voie publique,76.0,Jardiniere,2015,77.0,64.86828681,2,0.012987012987012988,1.0,2.384914703833464,48.84233535916731,12.0,Sud,10,Petit,48.84233535916731,2.384914703833464
RUE DES,1.0,2100.0,CA,1,Promenades ouvertes,2162.0,Jardin,2020,2100.0,181.36106644,0,0.0004761904761904762,1.0,2.3667498899485393,48.85738872996949,3.0,Centre,5,Moyen,48.85738872996949,2.3667498899485393
RUE,2.0,160.0,CA,2,Décorations sur la voie publique,,Jardiniere,2024,160.0,181.36106644,2,0.0125,1.0,2.361034443640271,48.88636581490543,18.0,Nord,1,Petit,48.88636581490543,2.361034443640271
PLACE,6.0,80.0,CA,0,Décorations sur la voie publique,83.0,Jardiniere,2020,80.0,181.36106644,2,0.075,1.0,2.3141591180127397,48.88922187579575,17.0,Nord,5,Petit,48.88922187579575,2.3141591180127397
RUE DU,1.0,3.0,CA,0,Décorations sur la voie publique,3.0,Jardiniere,2008,3.0,8.46105159,2,0.3333333333333333,1.0,2.3599514675318867,48.855013648111495,4.0,Centre,17,Petit,48.855013648111495,2.3599514675318867
